kPlant ID,Site,Time,Date,Replicate,Family,Genus,Species,Unique ID,drying,etc
30,DP1,13:46,15/5/25,1,,,,,,
22,DP1,13:50,15/5/25,1,Halictidae,Lasioglossum,,,,
30,DP1,14:04,15/5/25,1,Halictidae,,,,,
37,DT2,12:25,16/5/25,1,Halictidae,,,,,
38,DT2,12:41,16/5/25,1,Halictidae,,,,,
21,DT2,12:44,16/5/25,1,Halictidae,,,,,
52,WT1,11:25,26/5/25,1,Halictidae,Lasioglossum,,,HD,
52,WP1,14:26,26/5/25,1,Halictidae,Lasioglossum,,,,
56,WP1,14:37,26/5/25,1,Halictidae,Lasioglossum,,,HD,
21,GN1,10:42,27/5/25,1,,,,,,
21,GN1,10:42,27/5/25,1,Halictidae,Lasioglossum,,,HD,
61,GP1,13:20,27/5/25,1,Apidae,Ceratina,,,,
61,GP1,13:29,27/5/25,1,Apidae,Ceratina,,,,
61,GP1,13:32,27/5/25,1,,,,,,
61,GP1,13:42,27/5/25,1,Andreninae,Andrena,,,,
61,GP1,13:42,27/5/25,1,Apidae,Ceratina,,,,1st
55,WT2,12:23,30/5/25,1,Colletidae,Hylaeus,,,,2nd
55,WT2,12:37,30/5/25,1,Colletidae,Hylaeus,,,,
55,WT2,12:46,30/5/25,1,,,,,,
55,WT2,12:55,30/5/25,1,Colletidae,Hylaeus,,,,
64,WT2,12:57,30/5/25,1,Halictidae,,,,,
66,WT3,14:52,30/5/25,1,Halictidae,,,,HD,
26,DP2,13:41,2/6/25,1,Apidae,Apis,mellifera,,,
26,DP2,13:46,2/6/25,1,Apidae,Apis,mellifera,,HD,
26,DP2,13:49,2/6/25,1,Halictidae,,,,HD,
26,DP2,13:51,2/6/25,1,Halictidae,Lasioglossum,,,,
26,DP2,13:56,2/6/25,1,Halictidae,,,,HD,
26,DP2,13:57,2/6/25,1,Halictidae,,,,,
26,DP2,14:01,2/6/25,1,Halictidae,,,,HD,1st
26,DP2,14:01,2/6/25,1,Halictidae,,,,HD,2nd
26,DP2,14:06,2/6/25,1,Halictidae,,,,HD,
55,WT2,10:43,3/6/25,2,,,,,,
55,WT2,10:47,3/6/25,2,Colletidae,Hylaeus,,,,
55,WT2,11:06,3/6/25,2,Colletidae,Hylaeus,,,HD,
21,WN1,13:12,3/6/25,2,,,,,HD,
21,WN1,13:14,3/6/25,2,Halictidae,,,,,
56,WP1,14:06,3/6/25,2,Halictidae,Halictus,confusus,,HD,
56,WP1,14:10,3/6/25,2,Colletidae,Hylaeus,,,,
56,WP1,14:11,3/6/25,2,Halictidae,Lasioglossum,,,HD,
56,WP1,14:11,3/6/25,2,Andrenidae,Andrena,,,,
56,WP1,14:14,3/6/25,2,Apidae,Xylocopa,virginica,,,
56,WP1,14:16,3/6/25,2,Colletidae,Hylaeus,,,,
56,WP1,14:17,3/6/25,2,Megachilidae,Osmia,,,,
56,WT1,13:29,4/6/25,2,Halictidae,Lasioglossum,,,,
57,DP2,15:10,10/6/25,2,Halictidae,,,,,
57,DP2,15:14,10/6/25,2,Halictidae,Lasioglossum,,,,
57,DP2,15:18,10/6/25,2,Apidae,Apis,mellifera,,,
57,DP2,15:19,10/6/25,2,Halictidae,Lasioglossum,,,,
57,DP2,15:21,10/6/25,2,Apidae,Apis,mellifera,,,
22,DT2,15:10,11/6/25,2,Halictidae,,,,,
44,GT2,13:59,16/6/25,2,Halictidae,Lasioglossum,,,,
44,GT2,14:03,16/6/25,2,Andrenidae,Andrena,,,,
74,GT3,10:20,17/6/25,2,Halictidae,Halictus,ligatus,,,
76?,GT3,10:22,17/6/25,2,Megachilidae,Megachile,,,,
76,GT3,10:33,17/6/25,2,Apidae,Bombus,bimaculatas,,,
42,DP3,13:29,17/6/25,2,Apidae,Bombus,griseocollis,,,
94,DP3,13:42,17/6/25,2,Apidae,Bombus,bimaculatas,,,
42,DP3,13:47,17/6/25,2,Apidae,Apis,mellifera,,,
42,DP3,13:47,17/6/25,2,Apidae,Bombus,griseocollis,,,
44,DP3,13:48,17/6/25,2,Colletidae,Hylaeus,,,,
42,DP3,15:50,17/6/25,2,Apidae,Bombus,griseocollis,,,
42,DP3,15:56,17/6/25,2,,,,,,
96,DT3,16:12,17/6/25,3,Halictidae,Lasioglossum,,,,
42,WT3,13:14,20/6/25,3,Halictidae,,,,,
42,WT3,13:15,20/6/25,3,Colletidae,Hylaeus,,,,
42,WT3,13:17,20/6/25,3,Megachilidae,Megachile,,,,
42,WT3,13:26,20/6/25,3,Colletidae,Hylaeus,,,,
42,WT3,13:26,20/6/25,3,Apidae,Ceratina,,,,
42,WT3,13:32,20/6/25,3,Colletidae,Hylaeus,,,,
42,WT3,13:34,20/6/25,3,Colletidae,Hylaeus,,,,
23,WN3,14:14,20/6/25,3,Colletidae,Hylaeus,,,,
92,DP3,13:04,23/6/25,3,Apidae,Apis,mellifera,,,
42,DP3,13:04,23/6/25,3,,,,,,
42,DP3,13:05,23/6/25,3,Apidae,Apis,mellifera,,,
42,DP3,13:07,23/6/25,3,Apidae,Bombus,griseocollis,,,
42,DP3,13:11,23/6/25,3,Apidae,Apis,mellifera,,,
42,DP3,13:13,23/6/25,3,Apidae,Apis,mellifera,,,
42,DP3,13:14,23/6/25,3,Apidae,Apis,mellifera,,,
42,DP3,13:16,23/6/25,3,Apidae,Apis,mellifera,,,
42,DP3,13:19,23/6/25,3,Apidae,Apis,mellifera,,,
42,DP3,13:23,23/6/25,3,Apidae,Apis,mellifera,,,
42,DP3,13:26,23/6/25,3,Apidae,Apis,mellifera,,,
