Site,Time,Date,Traffic passenger,Traffic Bike,Traffic truck,Temp,Humidity,Wind,Volume,# Observers,# Bee observers,Researcher names,Plant Species floral units count
DP1,13:50:00,15/05/25,,,,17,71.4,1.6,,2,2,"Andrew, Audrey",
DP1,14:00:00,15/05/25,,,,19.4,73.5,1.7,,2,2,"Andrew, Audrey",
DP1,14:10:00,15/05/25,,,,17.8,72,1.5,,2,2,"Andrew, Audrey",
DN1,16:10:00,15/05/25,133,,,21.6,60.7,0.6,,2,1,"Andrew, Audrey",
DN1,16:20:00,15/05/25,121,,,19.5,61.8,0.8,,2,1,"Andrew, Audrey",
DN1,16:30:00,15/05/25,155,,,19.8,61,0.4,,2,1,"Andrew, Audrey",
DT1,16:50:00,15/05/25,157,,,20.4,55.6,0.6,,2,1,"Andrew, Audrey",
DT1,17:00:00,15/05/25,157,,,22.8,58.1,0.5,,2,1,"Andrew, Audrey",
DT1,17:10:00,15/05/25,151,,,23.7,53.8,0.1,,2,1,"Andrew, Audrey",
DT2,12:33:00,16/05/25,31,,,21.6,63,0.9,,2,1,"Audrey, Nevadha",
DT2,12:43:00,16/05/25,45,,,22.9,64.6,1,,2,1,"Audrey, Nevadha",
DT2,12:53:00,16/05/25,31,,,20.1,64.9,2.4,,2,1,"Audrey, Nevadha",
DN2,13:27:00,16/05/25,27,,,19.5,65,2,,2,1,"Audrey, Nevadha",
DN2,13:37:00,16/05/25,35,,,19.7,63.7,2.7,,2,1,"Audrey, Nevadha",
DN2,13:47:00,16/05/25,40,,,19.9,65.9,2.7,,2,1,"Audrey, Nevadha",
DT3,15:34:00,16/05/25,26,,,28.2,32.4,0.3,,2,1,"Audrey, Nevadha",
DT3,15:44:00,16/05/25,22,,,27.9,35.9,0.4,,2,1,"Audrey, Nevadha",
DT3,15:54:00,16/05/25,12,,,31.4,28.7,0,,2,1,"Audrey, Nevadha",
DN3,16:13:00,16/05/25,16,,,25.4,36.9,3.4,,2,1,"Audrey, Nevadha",
DN3,16:23:00,16/05/25,30,,,25.6,37.4,0.2,,2,1,"Audrey, Nevadha",
DN3,16:33:00,16/05/25,20,,,25.6,34.4,2.5,,2,1,"Audrey, Nevadha",
WT1,11:32:00,26/05/25,2,0,,19.3,48.9,2,,3,2,"Audrey, Kajal, Nevadha",
WT1,11:42:00,26/05/25,3,0,,22.3,42.2,0.6,,3,2,"Audrey, Kajal, Nevadha",
WT1,11:52:00,26/05/25,3,1,,20.2,49.6,1.8,,3,2,"Audrey, Kajal, Nevadha",
WN1,12:20:00,26/05/25,5,0,,23.9,32.8,0.2,,3,2,"Audrey, Kajal, Nevadha",
WN1,12:30:00,26/05/25,8,0,,23.6,31.5,1.4,,3,2,"Audrey, Kajal, Nevadha",
WN1,12:40:00,26/05/25,4,0,,28.3,31.6,0.2,,3,2,"Audrey, Kajal, Nevadha",
WP1,14:32:00,26/05/25,0,0,,25.6,41,0,,3,3,"Audrey, Kajal, Nevadha",
WP1,14:42:00,26/05/25,0,0,,21.3,40.2,0.4,,3,3,"Audrey, Kajal, Nevadha",
WP1,14:52:00,26/05/25,0,0,,21.1,50.3,0,,3,3,"Audrey, Kajal, Nevadha",
WPN1,15:32:00,26/05/25,0,0,,22.2,49.1,0,,3,3,"Audrey, Kajal, Nevadha",
WPN1,15:42:00,26/05/25,0,0,,19.6,40.2,0,,3,3,"Audrey, Kajal, Nevadha",
WPN1,15:52:00,26/05/25,0,0,,19,50.3,0,,3,3,"Audrey, Kajal, Nevadha",
GT1,09:45:00,27/05/25,3,2,,18.6,49.1,0,,3,2,"Andrew, Audrey, Nevadha",
GT1,09:55:00,27/05/25,1,0,,18.1,56.6,0,,3,2,"Andrew, Audrey, Nevadha",
GT1,10:05:00,27/05/25,3,0,,19.1,56.3,0.1,,3,2,"Andrew, Audrey, Nevadha",
GN1,10:41:00,27/05/25,2,0,,19.1,46.5,0.6,,3,2,"Andrew, Audrey, Nevadha",
GN1,10:51:00,27/05/25,0,0,,23.8,47.2,0.2,,3,2,"Andrew, Audrey, Nevadha",
GN1,11:01:00,27/05/25,2,1,,18.7,45.6,0.5,,3,2,"Andrew, Audrey, Nevadha",
GP1,13:23:00,27/05/25,,,,17.9,43.8,0.1,,3,3,"Andrew, Audrey, Nevadha",
GP1,13:33:00,27/05/25,,,,19.3,41.7,0.4,,3,3,"Andrew, Audrey, Nevadha",
GP1,13:43:00,27/05/25,,,,21.2,36.9,0,,3,3,"Andrew, Audrey, Nevadha",
GT2,14:30:00,27/05/25,3,0,,19.7,33.9,0.7,,3,2,"Andrew, Audrey, Nevadha",
GT2,14:40:00,27/05/25,1,1,,21.8,34.5,0,,3,2,"Andrew, Audrey, Nevadha",
GT2,14:50:00,27/05/25,0,0,,21.7,36.3,0,,3,2,"Andrew, Audrey, Nevadha",
GN2,15:15:00,27/05/25,4,0,,19.4,40.1,0,,3,2,"Andrew, Audrey, Nevadha",
GN2,15:25:00,27/05/25,3,0,,20.4,42.6,0,,3,2,"Andrew, Audrey, Nevadha",
GN2,15:35:00,27/05/25,0,0,,19.9,41.9,0,,3,2,"Andrew, Audrey, Nevadha",
WT2,12:38:00,30/5/25,57,1,,22.4,39.2,1.4,,3,2,"Andrew, Audrey, Fatemeh",
WT2,12:48:00,30/5/25,73,1,,24.3,34.3,0,,3,2,"Andrew, Audrey, Fatemeh",
WT2,12:58:00,30/5/25,38,0,,24.1,35.1,0.7,,3,2,"Andrew, Audrey, Fatemeh",
WN2,14:07:00,30/5/25,77,0,,29.1,28.7,0.2,,3,2,"Andrew, Audrey, Fatemeh",
WN2,14:17:00,30/5/25,50,0,,27.2,24.1,1.3,,3,2,"Andrew, Audrey, Fatemeh",
WN2,14:27:00,30/5/25,48,1,,24.4,31.6,1.8,,3,2,"Andrew, Audrey, Fatemeh",
WT3,15:43:00,30/5/25,16,0,,26.1,33.2,0.6,,3,2,"Andrew, Audrey, Fatemeh",
WT3,15:53:00,30/5/25,23,0,,25.7,33,1.6,,3,2,"Andrew, Audrey, Fatemeh",
WT3,16:03:00,30/5/25,21,0,,26.3,34.6,0.1,,3,2,"Andrew, Audrey, Fatemeh",
WN3,16:38:00,30/5/25,21,0,,25.2,32.8,3,,3,2,"Andrew, Audrey, Fatemeh",
WN3,16:48:00,30/5/25,30,2,,25.9,33,1.9,,3,2,"Andrew, Audrey, Fatemeh",
WN3 ,16:58:00,30/5/25,24,0,,25.2,33.7,0.2,,3,2,"Andrew, Audrey, Fatemeh",
DP2,13:47:00,2/6/25,,,,21.1,29.5,0,,2,2,"Audrey, Nevadha",
DP2,13:57:00,2/6/25,,,,20.5,32.8,0.1,,2,2,"Audrey, Nevadha",
DP2,14:07:00,2/6/25,,,,20.7,34.2,0.4,,2,2,"Audrey, Nevadha",
WN2,10:02:00,3/6/25,52,1,,20.6,29.2,0.8,,3,2,"Andrew, Audrey, Nevadha",
WN2,10:12:00,3/6/25,39,1,,20.4,37.4,2.4,,3,2,"Andrew, Audrey, Nevadha",
WN2,10:22:00,3/6/25,41,0,,20.4,38.1,1.8,,3,2,"Andrew, Audrey, Nevadha",
WT2,10:49:00,3/6/25,24,1,,21.6,37.5,2.9,,3,2,"Andrew, Audrey, Nevadha",
WT2,10:59:00,3/6/25,41,1,,20.9,36.3,2,,3,2,"Andrew, Audrey, Nevadha",
WT2,11:09:00,3/6/25,46,0,,21.5,37,1.3,,3,2,"Andrew, Audrey, Nevadha",
WT1,12:21:00,3/6/25,6,0,,23.2,41.9,1.8,,3,2,"Andrew, Audrey, Nevadha",
WT1,12:31:00,3/6/25,3,0,,23.7,41.1,3.1,,3,2,"Andrew, Audrey, Nevadha",
WT1,12:41:00,3/6/25,10,0,,24.6,43.3,1.7,,3,2,"Andrew, Audrey, Nevadha",
WN1,13:10:00,3/6/25,2,1,,24.9,37.8,2.4,,3,2,"Andrew, Audrey, Nevadha",
WN1,13:20:00,3/6/25,10,0,,25.8,41.7,1.9,,3,2,"Andrew, Audrey, Nevadha",
WN1,13:30:00,2025-03-06,8,0,,25.6,39.6,2.3,,3,2,"Andrew, Audrey, Nevadha",
WP1,14:10:00,3/6/25,,,,26.4,46.9,0.1,,3,3,"Andrew, Audrey, Nevadha",
WP1,14:20:00,3/6/25,,,,25.1,46.2,0.3,,3,3,"Andrew, Audrey, Nevadha",
WP1,14:30:00,3/6/25,,,,24.9,42.8,0.4,,3,3,"Andrew, Audrey, Nevadha",
WN3,15:31:00,3/6/25,18,0,,26.4,38.9,2.1,,3,2,"Andrew, Audrey, Nevadha",
WN3,15:41:00,3/6/25,23,0,,26.1,39,2.3,,3,2,"Andrew, Audrey, Nevadha",
WN3,15:51:00,3/6/25,26,1,,25.9,40.3,4.4,,3,2,"Andrew, Audrey, Nevadha",
WT3,16:12:00,3/6/25,24,0,n/a,26.6,38.9,0.6,,3,2,"Andrew, Audrey, Nevadha",
WT3,16:22:00,3/6/25,24,1,n/a,26.1,38.5,1.7,,3,2,"Andrew, Audrey, Nevadha",
WT3,16:32:00,3/6/25,30,1,n/a,26.1,37.1,2,,3,2,"Andrew, Audrey, Nevadha",
DT3,13:35:00,4/6/25,13,4,3,27.9,45.6,0.5,60.1,2,1,"Audrey, Nevadha",
DT3,13:45:00,4/6/25,17,4,1,27.3,47.3,2,56.5,2,1,"Audrey, Nevadha",
DT3,13:55:00,4/6/25,13,5,1,27.7,45.9,2.2,59.8,2,1,"Audrey, Nevadha",
DN3,14:22:00,4/6/25,17,4,2,27.7,46,2.9,57.1,2,1,"Audrey, Nevadha",
DN3,14:32:00,4/6/25,29,6,0,27.6,45.3,1.7,75,2,1,"Audrey, Nevadha",
DN3,14:42:00,4/6/25,29,4,1,27.2,44.2,1.5,62.5,2,1,"Audrey, Nevadha",
WN1, 16:07:00, 8/6/25, 124, 1, 3, 24.4, 38.6, 1.9, 56.3, 2, 1,"Audrey, Fatemeh",
WN1, 16:17:00, 8/6/25, 120, 2, 5, 24.6, 38.3, 1.3, 58.1, 2, 1,"Audrey, Fatemeh",
WN1, 16:27:00, 8/6/25, 115, 0, 3, 24.4, 39.2, 2.3, 60.8, 2, 1,"Audrey, Fatemeh",
WT1, 16:55:00, 8/6/25,114,2,1,23.5,39.3,4.0,55.5,2,1,"Audrey, Fatemeh",
WT1,17:05:00,8/6/25,106,1,4,22.9,39.5,4.4,51.7,2,1,"Audrey, Fatemeh",
WT1,17:15:00,8/6/25, 105,1,1,23.7,39.0,2.1,55.3,2,1,"Audrey, Fatemeh",
