Plant_ID,Site,Time,Date,Replicate,Family,Genus,Species,Unique_ID,drying,etc,sex,nativity
30,DP1,14:05,2025-05-15,1,Halictidae,Augochlorella,,,,,,1
22,DP1,13:50,2025-05-15,1,Halictidae,Lasioglossum,,,,,,1
30,DP1,14:04,2025-05-15,1,Halictidae,Augochlorella,,,,,,1
37,DT2,12:25,2025-05-16,1,Halictidae,Augochlorella,,,,,,1
38,DT2,12:41,2025-05-16,1,Halictidae,Augochlorella,,,,,,1
21,DT2,12:44,2025-05-16,1,Halictidae,Halictus,,,,,,1
61,GP1,13:32,2025-05-17,1,Colletidae,Colletes,,,,,,1
52,WT1,11:25,2025-05-26,1,Halictidae,Lasioglossum,,,HD,,,1
52,WP1,14:26,2025-05-26,1,Halictidae,Lasioglossum,,,,,,1
56,WP1,14:37,2025-05-26,1,Halictidae,Lasioglossum,,,HD,,,1
56,WP1,14:26,2025-05-26,1,Apidae,Ceratina,,,,,,1
52,WP1,14:26,2025-05-26,1,Apidae,Ceratina,,,,,,1
21,GN1,10:42,2025-05-27,1,Halictidae,Lasioglossum,,,,,,1
21,GN1,10:42,2025-05-27,1,Halictidae,Lasioglossum,,,HD,,,1
61,GP1,13:32,2025-05-27,1,Colletidae,Colletes,,,,,,1
61,GP1,13:20,2025-05-27,1,Apidae,Ceratina,,,,,,1
61,GP1,13:29,2025-05-27,1,Apidae,Ceratina,,,,,,1
61,GP1,13:42,2025-05-27,1,Apidae,Ceratina,,,,1st,,1
61,GP1,13:42,2025-05-27,1,Andreninae,Andrena,,,,,,1
64,WT2,12:57,2025-05-30,1,Halictidae,Augochlorella,,,,,,1
66,WT3,14:52,2025-05-30,1,Halictidae,Augochlorella,,,HD,,,1
55,WT2,12:23,2025-05-30,1,Colletidae,Hylaeus,,,,2nd,,1
55,WT2,12:37,2025-05-30,1,Colletidae,Hylaeus,,,,,,1
55,WT2,12:55,2025-05-30,1,Colletidae,Hylaeus,,,,,,1
55,WT2,12:46,2025-05-30,1,Apidae,Ceratina,,,,,,1
55,WT2,12:46,2025-05-30,1,Apidae,Ceratina,,,,,,1
26,DP2,13:41,2025-06-02,1,Apidae,Apis,mellifera,,,,,0
26,DP2,13:46,2025-06-02,1,Apidae,Apis,mellifera,,HD,,,0
26,DP2,13:49,2025-06-02,1,Halictidae,Augochlorella,,,HD,,,1
26,DP2,13:51,2025-06-02,1,Halictidae,Lasioglossum,,,,,,1
26,DP2,13:56,2025-06-02,1,Halictidae,Augochlorella,,,HD,,,1
26,DP2,13:57,2025-06-02,1,Halictidae,Augochlorella,,,,,,1
26,DP2,14:01,2025-06-02,1,Halictidae,Augochlorella,,,HD,1st,,1
26,DP2,14:01,2025-06-02,1,Halictidae,Augochlorella,,,HD,2nd,,1
26,DP2,14:06,2025-06-02,1,Halictidae,Augochlorella,,,HD,,,1
26,DP2,13:46,2025-06-02,1,Halictidae,Augochlorella,,,,,,1
56,WP1,14:17,2025-06-03,2,Megachilidae,Osmia,,,,,,1
21,WN1,13:14,2025-06-03,2,Halictidae,Augochlorella ,,,,,,1
56,WP1,14:06,2025-06-03,2,Halictidae,Halictus,confusus,,HD,,,1
56,WP1,14:11,2025-06-03,2,Halictidae,Lasioglossum,,,HD,,,1
56,WP1,14:14,2025-06-03,2,Apidae,Xylocopa,virginica,,,,,1
55,WT2,10:47,2025-06-03,2,Colletidae,Hylaeus,,,,,,1
55,WT2,11:06,2025-06-03,2,Colletidae,Hylaeus,,,HD,,,1
21,WN1,13:12,2025-06-03,2,Colletidae,Hylaeus,,,HD,,,1
56,WP1,14:10,2025-06-03,2,Colletidae,Hylaeus,,,,,,1
56,WP1,14:16,2025-06-03,2,Colletidae,Hylaeus,,,,,,1
56,WP1,14:11,2025-06-03,2,Andrenidae,Andrena,,,,,,1
56,WT1,13:29,2025-06-04,2,Halictidae,Lasioglossum,,,,,,1
57,DP2,15:10,2025-06-10,2,Halictidae,Augochlorella,,,,,,1
57,DP2,15:14,2025-06-10,2,Halictidae,Lasioglossum,,,,,,1
57,DP2,15:19,2025-06-10,2,Halictidae,Lasioglossum,,,,,,1
