Plant_ID,Site,Time,Date,Replicate,Family,Genus,Species,Unique_ID,drying,etc,sex,nativity
Allaria_petiolata,DP1,14:05,2025-05-15,1,Halictidae,Augochlorella,aurata,,,,f,1
22,DP1,13:50,2025-05-15,1,Halictidae,Lasioglossum,Dialictus_spp,,,,m,1
Allaria_petiolata,DP1,14:04,2025-05-15,1,Halictidae,Augochlorella,aurata,,,,f,1
37,DT2,12:25,2025-05-16,1,Halictidae,Augochlorella,aurata,,,,f,1
38,DT2,12:41,2025-05-16,1,Halictidae,Augochlorella,aurata,,,,f,1
21,DT2,12:44,2025-05-16,1,Halictidae,Halictus,confusus,,,,f,1
52,WT1,11:25,2025-05-26,1,Halictidae,Lasioglossum,Dialictus_spp,,HD,,m,1
52,WT1,11:25,2025-05-26,1,Apidae,Ceratina,calcarata,,,,m,1
52,WP1,14:26,2025-05-26,1,Halictidae,Lasioglossum,Dialictus_spp,,,,m,1
56,WP1,14:37,2025-05-26,1,Halictidae,Lasioglossum,Dialictus_spp,,HD,,m,1
56,WP1,14:26,2025-05-26,1,Apidae,Ceratina,calcarata,,,,f,1
21,GN1,10:42,2025-05-27,1,Halictidae,Lasioglossum,Dialictus_spp,,,,m,1
21,GN1,10:42,2025-05-27,1,Halictidae,Lasioglossum,Dialictus_spp,,HD,,m,1
61,GP1,13:32,2025-05-27,1,Colletidae,Colletes,inequalis,,,,f,1
61,GP1,13:20,2025-05-27,1,Apidae,Ceratina,dupla,,,,m,1
61,GP1,13:29,2025-05-27,1,Apidae,Ceratina,calcarata,,,,m,1
61,GP1,13:42,2025-05-27,1,Apidae,Ceratina,mikmaqi,,,,m,1
64,WT2,12:57,2025-05-30,1,Halictidae,Augochlorella,aurata,,,,f,1
66,WT3,14:52,2025-05-30,1,Halictidae,Augochlorella,aurata,,HD,,f,1
55,WT2,12:37,2025-05-30,1,Colletidae,Hylaeus,affinis,,,,m,1
55,WT2,12:46,2025-05-30,1,Apidae,Ceratina,dupla,,,,f,1
