Species,Date,Size,Length,Width,Height
Allaria_petiolata,2026_05_15,L,10.23,9.94,
Allaria_petiolata,2026_05_15,L,10.62,10.59,
Allaria_petiolata,2026_05_15,L,10.88,11.66,
Allaria_petiolata,2026_05_15,M,9.55,9.61,
Allaria_petiolata,2026_05_15,M,9.16,8.82,
Allaria_petiolata,2026_05_15,M,9.51,10.32,
Allaria_petiolata,2026_05_15,S,8.59,9.22,
Allaria_petiolata,2026_05_15,S,8.08,7.12,
Allaria_petiolata,2026_05_15,S,7.96,8.90,
Barbarea_vulgaris,2026_05_15,L,11.66,9.94,
Barbarea_vulgaris,2026_05_15,L,10.01,9.41,
Barbarea_vulgaris,2026_05_15,L,11.44,11.94,
Barbarea_vulgaris,2026_05_15,M,8.3,9.01,
Barbarea_vulgaris,2026_05_15,M,9.51,9.06,
Barbarea_vulgaris,2026_05_15,M,9.34,9.63,
Barbarea_vulgaris,2026_05_15,S,7.13,7.33,
Barbarea_vulgaris,2026_05_15,S,7.7,7.35,
Barbarea_vulgaris,2026_05_15,S,8.03,7.78,
Taraxacum_officinale,2026_05_15,L,41.18,43.13,8.31
Taraxacum_officinale,2026_05_15,L,39.87,41.79,9.41
Taraxacum_officinale,2026_05_15,L,45.46,40.86,10.18
Taraxacum_officinale,2026_05_15,M,31.68,31.58,7.73
Taraxacum_officinale,2026_05_15,M,31.32,29.79,7.56
Taraxacum_officinale,2026_05_15,M,29.79,28.87,8.55
Taraxacum_officinale,2026_05_15,S,25.81,22.55,6.73
Taraxacum_officinale,2026_05_15,S,20.2,23.41,7.56
Taraxacum_officinale,2026_05_15,S,22.56,24.99,6.81
Myosotis_sylvatica,2026_06_09,L,8.00,8.55,
Myosotis_sylvatica,2026_06_09,L,8.16,7.71,
Myosotis_sylvatica,2026_06_09,L,8.48,8.14,
Myosotis_sylvatica,2026_06_09,M,6.99,6.69,
Myosotis_sylvatica,2026_06_09,M,7.59,7.58,
Myosotis_sylvatica,2026_06_09,M,7.28,7.14,
Myosotis_sylvatica,2026_06_09,S,5.86,5.72,
Myosotis_sylvatica,2026_06_09,S,6.04,5.85,
Myosotis_sylvatica,2026_06_09,S,5.71,5.75,
Erigeron_philadelphicus,2026_06_13,L,17.3,17.81,
Erigeron_philadelphicus,2026_06_13,L,21.83,21.75,
Erigeron_philadelphicus,2026_06_13,L,19.80,19.10,
Erigeron_philadelphicus,2026_06_13,M,17.23,17.14,
Erigeron_philadelphicus,2026_06_13,M,14.93,16.11,
Erigeron_philadelphicus,2026_06_13,M,15.32,14.73,
Erigeron_philadelphicus,2026_06_13,S,12.30,13.46,
Erigeron_philadelphicus,2026_06_13,S,13.48,12.57,
Erigeron_philadelphicus,2026_06_13,S,14.44,14.19,
Leucanthemum_vulgare,2026_06_13,L,65.05,64.29,
Leucanthemum_vulgare,2026_06_13,L,61.46,65.36,
Leucanthemum_vulgare,2026_06_13,L,55.91,52.66,
Leucanthemum_vulgare,2026_06_13,M,51.36,52.16,
Leucanthemum_vulgare,2026_06_13,M,51.91,50.65,
Leucanthemum_vulgare,2026_06_13,M,45.81,44.49,
Leucanthemum_vulgare,2026_06_13,S,34.36,35.78,
Leucanthemum_vulgare,2026_06_13,S,46.81,43.04,
Leucanthemum_vulgare,2026_06_13,S,34.97,35.48,
Trifolium_pratense,2026_06_13,L,34.29,26.17,28.07
Trifolium_pratense,2026_06_13,L,34.54,31.38,32.97
Trifolium_pratense,2026_06_13,L,35.73,21.67,30.48
Trifolium_pratense,2026_06_13,M,,,
Trifolium_pratense,2026_06_13,M,29.51,28.71,23.37
Trifolium_pratense,2026_06_13,M,27.87,26.51,20.75
Trifolium_pratense,2026_06_13,S,23.34,23.23,20.97
Trifolium_pratense,2026_06_13,S,26.53,24.78,23.41
Trifolium_pratense,2026_06_13,S,23.74,25.74,17.54
Trifolium_repens,2026_06_13,L,30.24,25.52,24.94
Trifolium_repens,2026_06_13,L,24.65,25.18,16.06
Trifolium_repens,2026_06_13,L,29.23,29.15,26.50
Trifolium_repens,2026_06_13,M,23.07,24.41,19.28
Trifolium_repens,2026_06_13,M,16.64,18.32,13.87
Trifolium_repens,2026_06_13,M,24.11,24.38,23.38
Trifolium_repens,2026_06_13,S,18.97,18.72,14.05
Trifolium_repens,2026_06_13,S,17.26,16.88,11.63
Trifolium_repens,2026_06_13,S,18.98,18.35,14.22
Vicia_cracca,2026_06_13,L,,23.93,32.33
