Site ,Date,Replicate,Species_ID,No_of_Flowering_Units,nativity
DP1,15-05-2025,1,21,7,0
DP1,15-05-2025,1,29,438,0
DP1,15-05-2025,1,30,303,0
DN1,15-05-2025,1,21,3,0
DT1,15-05-2025,1,21,8,0
DT2,16-05-2025,1,21,4,0
DT2,16-05-2025,1,41,53,0
DN2,16-05-2025,1,21,131,0
DT3,16-05-2025,1,43,12,1
DN3,16-05-2025,1,21,24,0
WT1,26-05-2025,1,21,6,0
WT1,26-05-2025,1,52,192,0
WT1,26-05-2025,1,54,16,0
WT1,26-05-2025,1,59,6,0
WN1,26-05-2025,1,21,2,0
WN1,26-05-2025,1,54,52,0
WN1,26-05-2025,1,55,12,0
WP1,26-05-2025,1,54,486,0
WP1,26-05-2025,1,56,288,0
WP1,26-05-2025,1,57,277,0
GT1,27-05-2025,1,52,609,0
GN1,27-05-2025,1,21,1,0
GP1,27-05-2025,1,52,46,0
GP1,27-05-2025,1,61,9210,0
GT2,27-05-2025,1,62,16,1
GT2,27-05-2025,1,63,36,1
GN2,27-05-2025,1,21,1,0
WT2,30-05-2025,1,55,74,0
WT2,30-05-2025,1,64,3,0
WN2,30-05-2025,1,54,23,0
WN2,30-05-2025,1,55,29,0
WT3,30-05-2025,1,21,1,0
WT3,30-05-2025,1,65,474,1
WN3,30-05-2025,1,23,2,0
DP2,02-06-2025,1,26,759,0
WN2,03-06-2025,2,54,21,0
WN2,03-06-2025,2,55,54,0
WT2,03-06-2025,2,55,15,0
WT2,03-06-2025,2,64,275,0
WT1,03-06-2025,2,61,321,0
WN1,03-06-2025,2,21,3,0
WN1,03-06-2025,2,66,2,0
WN1,03-06-2025,2,64,193,0
WN1,03-06-2025,2,23,12,0
WN1,03-06-2025,2,54,11,0
WP1,03-06-2025,2,56,141,0
WP1,03-06-2025,2,67,28,0
WN3,03-06-2025,2,23,13,0
WN3,03-06-2025,2,25,1,1
WN3,03-06-2025,2,55,5,0
WT3,03-06-2025,2,65,229,1
WT3,03-06-2025,2,21,1,0
DT3,04-06-2025,3,44,17,1
DT3,04-06-2025,3,43,10,1
DT3,04-06-2025,3,55,1,0
DT3,04-06-2025,3,67,6,0
DN3,04-06-2025,3,20,7,1
WN1,08-06-2025,3,23,4,0
WN1,08-06-2025,3,55,105,0
WN1,08-06-2025,3,68,1,0
WT1,08-06-2025,3,52,122,0
WT1,08-06-2025,3,53,12,0
WT1,08-06-2025,3,102,6,0
DP1,10-06-2025,2,36,5,1
DP1,10-06-2025,2,69,2,0
DT1,10-06-2025,2,36,143,1
